id,name,year,avg_rating,num_votes,url
3799694,The Nice Guys,2016,7.4,209809,http://www.imdb.com/title/tt3799694/?ref_=adv_li_tt
2140479,The Accountant,2016,7.4,207190,http://www.imdb.com/title/tt2140479/?ref_=adv_li_tt
0803096,Warcraft,2016,6.9,207125,http://www.imdb.com/title/tt0803096/?ref_=adv_li_tt
2660888,Star Trek: Beyond,2016,7.1,190875,http://www.imdb.com/title/tt2660888/?ref_=adv_li_tt
4975722,Moonlight,2016,7.4,187638,http://www.imdb.com/title/tt4975722/?ref_=adv_li_tt
2277860,Finding Dory,2016,7.3,187421,http://www.imdb.com/title/tt2277860/?ref_=adv_li_tt
3110958,Now You See Me 2,2016,6.5,185906,http://www.imdb.com/title/tt3110958/?ref_=adv_li_tt
3521164,Moana,2016,7.6,183425,http://www.imdb.com/title/tt3521164/?ref_=adv_li_tt
4034228,Manchester by the Sea,2016,7.8,183120,http://www.imdb.com/title/tt4034228/?ref_=adv_li_tt
3263904,Sully,2016,7.5,173879,http://www.imdb.com/title/tt3263904/?ref_=adv_li_tt
4550098,Nocturnal Animals,2016,7.5,173176,http://www.imdb.com/title/tt4550098/?ref_=adv_li_tt
4196776,Jason Bourne,2016,6.6,172499,http://www.imdb.com/title/tt4196776/?ref_=adv_li_tt
1289401,Ghostbusters,2016,5.3,165304,http://www.imdb.com/title/tt1289401/?ref_=adv_li_tt
3065204,The Conjuring 2,2016,7.4,163193,http://www.imdb.com/title/tt3065204/?ref_=adv_li_tt
4776998,The Promise,2016,6.0,160215,http://www.imdb.com/title/tt4776998/?ref_=adv_li_tt
3741834,Lion,2016,8.1,155224,http://www.imdb.com/title/tt3741834/?ref_=adv_li_tt
4160708,Don't Breathe,2016,7.1,155046,http://www.imdb.com/title/tt4160708/?ref_=adv_li_tt
2404435,The Magnificent Seven,2016,6.9,150004,http://www.imdb.com/title/tt2404435/?ref_=adv_li_tt
2582782,Hell or High Water,2016,7.6,149235,http://www.imdb.com/title/tt2582782/?ref_=adv_li_tt
2094766,Assassin's Creed,2016,5.8,149147,http://www.imdb.com/title/tt2094766/?ref_=adv_li_tt
4846340,Hidden Figures,2016,7.8,144606,http://www.imdb.com/title/tt4846340/?ref_=adv_li_tt
1628841,Independence Day: Resurgence,2016,5.2,143082,http://www.imdb.com/title/tt1628841/?ref_=adv_li_tt
2709768,The Secret Life of Pets,2016,6.5,142578,http://www.imdb.com/title/tt2709768/?ref_=adv_li_tt
1700841,Sausage Party,2016,6.2,141992,http://www.imdb.com/title/tt1700841/?ref_=adv_li_tt
2674426,Me Before You,2016,7.4,141474,http://www.imdb.com/title/tt2674426/?ref_=adv_li_tt
0918940,The Legend of Tarzan,2016,6.3,135956,http://www.imdb.com/title/tt0918940/?ref_=adv_li_tt
3553976,Captain Fantastic,2016,7.9,135262,http://www.imdb.com/title/tt3553976/?ref_=adv_li_tt
2005151,War Dogs,2016,7.1,134141,http://www.imdb.com/title/tt2005151/?ref_=adv_li_tt
3631112,The Girl on the Train,2016,6.5,129773,http://www.imdb.com/title/tt3631112/?ref_=adv_li_tt
1935859,Miss Peregrine's Home for Peculiar Children,2016,6.7,125976,http://www.imdb.com/title/tt1935859/?ref_=adv_li_tt
3062096,Inferno,2016,6.2,120480,http://www.imdb.com/title/tt3062096/?ref_=adv_li_tt
1860357,Deepwater Horizon,2016,7.2,116476,http://www.imdb.com/title/tt1860357/?ref_=adv_li_tt
1489889,Central Intelligence,2016,6.3,114704,http://www.imdb.com/title/tt1489889/?ref_=adv_li_tt
3300542,London Has Fallen,2016,5.9,113036,http://www.imdb.com/title/tt3300542/?ref_=adv_li_tt
3640424,Allied,2016,7.1,107583,http://www.imdb.com/title/tt3640424/?ref_=adv_li_tt
3774114,Snowden,2016,7.3,102103,http://www.imdb.com/title/tt3774114/?ref_=adv_li_tt
2267968,Kung Fu Panda 3,2016,7.1,101152,http://www.imdb.com/title/tt2267968/?ref_=adv_li_tt
3393786,Jack Reacher: Never Go Back,2016,6.1,100894,http://www.imdb.com/title/tt3393786/?ref_=adv_li_tt
0475290,"Hail, Caesar!",2016,6.3,100410,http://www.imdb.com/title/tt0475290/?ref_=adv_li_tt
2034800,The Great Wall,2016,6.0,95727,http://www.imdb.com/title/tt2034800/?ref_=adv_li_tt
3470600,Sing,2016,7.1,95236,http://www.imdb.com/title/tt3470600/?ref_=adv_li_tt
4052882,The Shallows,2016,6.3,92595,http://www.imdb.com/title/tt4052882/?ref_=adv_li_tt
4302938,Kubo and the Two Strings,2016,7.8,90454,http://www.imdb.com/title/tt4302938/?ref_=adv_li_tt
4172430,13 Hours,2016,7.3,90044,http://www.imdb.com/title/tt4172430/?ref_=adv_li_tt
4438848,Neighbors 2: Sorority Rising,2016,5.7,89648,http://www.imdb.com/title/tt4438848/?ref_=adv_li_tt
1860213,Dirty Grandpa,2016,5.9,88955,http://www.imdb.com/title/tt1860213/?ref_=adv_li_tt
3531824,Nerve,2016,6.6,88760,http://www.imdb.com/title/tt3531824/?ref_=adv_li_tt
4651520,Bad Moms,2016,6.2,87746,http://www.imdb.com/title/tt4651520/?ref_=adv_li_tt
4786282,Lights Out,2016,6.3,87309,http://www.imdb.com/title/tt4786282/?ref_=adv_li_tt
2404233,Gods of Egypt,2016,5.4,84167,http://www.imdb.com/title/tt2404233/?ref_=adv_li_tt
3410834,Allegiant,2016,5.7,82729,http://www.imdb.com/title/tt3410834/?ref_=adv_li_tt
2304933,The 5th Wave,2016,5.2,82273,http://www.imdb.com/title/tt2304933/?ref_=adv_li_tt
4276820,The Founder,2016,7.2,77996,http://www.imdb.com/title/tt4276820/?ref_=adv_li_tt
4034354,Swiss Army Man,2016,7.0,77956,http://www.imdb.com/title/tt4034354/?ref_=adv_li_tt
4501244,Why Him?,2016,6.2,77616,http://www.imdb.com/title/tt4501244/?ref_=adv_li_tt
2241351,Money Monster,2016,6.5,77131,http://www.imdb.com/title/tt2241351/?ref_=adv_li_tt
2381991,The Huntsman: Winter's War,2016,6.1,76716,http://www.imdb.com/title/tt2381991/?ref_=adv_li_tt
3381008,The Brothers Grimsby,2016,6.2,73375,http://www.imdb.com/title/tt3381008/?ref_=adv_li_tt
2671706,Fences,2016,7.2,73000,http://www.imdb.com/title/tt2671706/?ref_=adv_li_tt
0490215,Silence,2016,7.2,72981,http://www.imdb.com/title/tt0490215/?ref_=adv_li_tt
4698684,Hunt for the Wilderpeople,2016,7.9,71260,http://www.imdb.com/title/tt4698684/?ref_=adv_li_tt
3949660,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,6.0,69211,http://www.imdb.com/title/tt3949660/?ref_=adv_li_tt
1878870,The Edge of Seventeen,2016,7.4,68998,http://www.imdb.com/title/tt1878870/?ref_=adv_li_tt
2567026,Alice Through the Looking Glass,2016,6.2,68337,http://www.imdb.com/title/tt2567026/?ref_=adv_li_tt
1292566,How to Be Single,2016,6.1,67256,http://www.imdb.com/title/tt1292566/?ref_=adv_li_tt
4682786,Collateral Beauty,2016,6.8,66769,http://www.imdb.com/title/tt4682786/?ref_=adv_li_tt
2823054,Mike and Dave Need Wedding Dates,2016,6.0,66538,http://www.imdb.com/title/tt2823054/?ref_=adv_li_tt
1083452,Eddie the Eagle,2016,7.4,66003,http://www.imdb.com/title/tt1083452/?ref_=adv_li_tt
3544112,Sing Street,2016,8.0,65296,http://www.imdb.com/title/tt3544112/?ref_=adv_li_tt
4094724,The Purge: Election Year,2016,6.0,65261,http://www.imdb.com/title/tt4094724/?ref_=adv_li_tt
2592614,Resident Evil: The Final Chapter,2016,5.6,65206,http://www.imdb.com/title/tt2592614/?ref_=adv_li_tt
1985949,Angry Birds,2016,6.3,63088,http://www.imdb.com/title/tt1985949/?ref_=adv_li_tt
4572514,Patriots Day,2016,7.4,62592,http://www.imdb.com/title/tt4572514/?ref_=adv_li_tt
2649554,Midnight Special,2016,6.6,62427,http://www.imdb.com/title/tt2649554/?ref_=adv_li_tt
1974419,The Neon Demon,2016,6.2,62387,http://www.imdb.com/title/tt1974419/?ref_=adv_li_tt
3691740,The BFG,2016,6.4,61167,http://www.imdb.com/title/tt3691740/?ref_=adv_li_tt
5022702,Hush,2016,6.6,60177,http://www.imdb.com/title/tt5022702/?ref_=adv_li_tt
3416532,A Monster Calls,2016,7.5,59284,http://www.imdb.com/title/tt3416532/?ref_=adv_li_tt
3882082,The Boy,2016,6.0,59234,http://www.imdb.com/title/tt3882082/?ref_=adv_li_tt
3289956,The Autopsy of Jane Doe,2016,6.8,58621,http://www.imdb.com/title/tt3289956/?ref_=adv_li_tt
3522806,Mechanic: Resurrection,2016,5.7,58416,http://www.imdb.com/title/tt3522806/?ref_=adv_li_tt
1619029,Jackie,2016,6.7,57981,http://www.imdb.com/title/tt1619029/?ref_=adv_li_tt
4731136,A Cure for Wellness,2016,6.4,57221,http://www.imdb.com/title/tt4731136/?ref_=adv_li_tt
1679335,Trolls,2016,6.5,55389,http://www.imdb.com/title/tt1679335/?ref_=adv_li_tt
3315342,Logan,2017,8.1,462511,http://www.imdb.com/title/tt3315342/?ref_=adv_li_tt
0451279,Wonder Woman,2017,7.5,389622,http://www.imdb.com/title/tt0451279/?ref_=adv_li_tt
5013056,Dunkirk,2017,8.0,368777,http://www.imdb.com/title/tt5013056/?ref_=adv_li_tt
3896198,Guardians of the Galaxy Vol. 2,2017,7.7,352969,http://www.imdb.com/title/tt3896198/?ref_=adv_li_tt
2527336,Star Wars: Episode VIII - The Last Jedi,2017,7.4,340663,http://www.imdb.com/title/tt2527336/?ref_=adv_li_tt
2250912,Spider-Man: Homecoming,2017,7.5,293521,http://www.imdb.com/title/tt2250912/?ref_=adv_li_tt
5052448,Get Out,2017,7.7,282435,http://www.imdb.com/title/tt5052448/?ref_=adv_li_tt
3890160,Baby Driver,2017,7.7,280653,http://www.imdb.com/title/tt3890160/?ref_=adv_li_tt
3501632,Thor: Ragnarok,2017,8.0,276976,http://www.imdb.com/title/tt3501632/?ref_=adv_li_tt
1856101,Blade Runner 2049,2017,8.1,267266,http://www.imdb.com/title/tt1856101/?ref_=adv_li_tt
1396484,It,2017,7.5,257951,http://www.imdb.com/title/tt1396484/?ref_=adv_li_tt
0974015,Justice League,2017,6.8,220412,http://www.imdb.com/title/tt0974015/?ref_=adv_li_tt
4425200,John Wick: Chapter 2,2017,7.5,220102,http://www.imdb.com/title/tt4425200/?ref_=adv_li_tt
2771200,Beauty and the Beast,2017,7.3,201839,http://www.imdb.com/title/tt2771200/?ref_=adv_li_tt
3731562,Kong: Skull Island,2017,6.7,198305,http://www.imdb.com/title/tt3731562/?ref_=adv_li_tt
2316204,Alien: Covenant,2017,6.5,190826,http://www.imdb.com/title/tt2316204/?ref_=adv_li_tt
5027774,"Three Billboards Outside Ebbing, Missouri",2017,8.2,189463,http://www.imdb.com/title/tt5027774/?ref_=adv_li_tt
